,id,name,description,category,subcategory,region,delay,universe,coverage,turnover,valueScore,userCount,alphaCount,fieldCount,researchPapers
0,analyst11,ESG scores,Environmental Social Governance scores that exhibit significance with respect to financial metrics - different scores according to grouping and weighing.,analyst,analyst-esg,USA,1,TOP3000,0.6818,,2.0,211,13626,197,"[{'title': 'Research Paper 19: ESG Preference, Institutional Trading, and Stock Return Patterns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14603831291415-Research-Paper-19-ESG-Preference-Institutional-Trading-and-Stock-Return-Patterns'}, {'title': 'Research Paper 31: Corporate ESG Profiles and Investor Horizons', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15238206484631-Research-Paper-31-Corporate-ESG-Profiles-and-Investor-Horizons'}]"
1,analyst14,Estimations of Key Fundamentals,"This dataset reports many items from financial statements like Balance Sheet, Income Statement, Cash Flow Statement, etc. Along with the actual values, it also reports consensus values of estimations on upcoming fiscal quarters or semi-annuals or fiscal years from different analysts. It has global coverage & good history.",analyst,analyst-analyst-estimates,USA,1,TOP3000,0.6197,,1.0,513,128450,870,"[{'title': 'Research Paper 10: Investor Learning, Earnings Signals, and Stock Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13801504994455-Research-Paper-10-Investor-Learning-Earnings-Signals-and-Stock-Returns'}, {'title': 'Research Paper 24: Factor Investing: Get Your Exposures Right!', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15102958024087-Research-Paper-24-Factor-Investing-Get-Your-Exposures-Right'}]"
2,analyst15,Earnings forecasts,This dataset provides bottom-up forecast data for earnings & other factors for major indices & countries. It aggregates stock analysis within same group/sector/industry to provide group level analyst data. This helps in identifying markets that are under/overvalued and also helps gauge aggregated sentiment. ,analyst,analyst-analyst-estimates,USA,1,TOP3000,0.9892,,1.0,534,748248,2538,[]
3,analyst16,Real Time Estimates,"This dataset provides real-time access to the industry standard Estimates, plus SmartEstimate and Predicted Surprises.This enables to act and trade before the market has prices in the news.",analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.8252,,2.0,105,4178,107,[]
4,analyst2,Analysts Estimates of Key Fundamentals,This data contains forecasts of key fundamentals.,analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.4702,,2.0,404,13036,27,[]
5,analyst20,Decision Machine Data,"This dataset identifies structural breaks in financial time-series to indicate a confluence of factors that offers a favorable risk-adjusted return. By using the full mathematical machinery of machine-learning, it calculates market features exactly without statistical assumptions in the model. It helps capturing the non-statistical behavior in financial markets. Most of the fields in the dataset have valid data from July 2015, and they started to go on live from October 2018.",analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.4344,,2.0,124,6066,7,[]
6,analyst21,Indicators of Interest Data,It is indications of interest (IOI) and trade advertisements event data.,analyst,analyst-analyst-ratings,USA,1,TOP3000,1.0,,3.0,57,864,16,[]
7,analyst27,Analyst Estimate Daily Data,"Statistics data for analysts and estimators (the institution of analyst) historical performance, like accuracy, revision accuracy, consistency, profitability, relative profitability etc.",analyst,analyst-analyst-estimates,USA,1,TOP3000,0.838,,2.0,98,2034,100,[]
8,analyst34,Dividend forecasts model,Dividend forecasts.,analyst,analyst-analyst-estimates,USA,1,TOP3000,0.6456,,3.0,21,80,3,"[{'title': 'Research Paper 05: Dividend capture returns: anomaly or risk premium? Evidence from the equity Options markets', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13384217318167-Research-Paper-05-Dividend-capture-returns-anomaly-or-risk-premium-Evidence-from-the-equity-Options-markets'}, {'title': 'Research Paper 07: Machine Learning for Stock Selection', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13571026606999-Research-Paper-07-Machine-Learning-for-Stock-Selection'}, {'title': 'Research Paper 16: First Impression Bias: Evidence from Analyst Forecasts', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14353241718423-Research-Paper-16-First-Impression-Bias-Evidence-from-Analyst-Forecasts'}, {'title': 'Research Paper 46: Time-Series and Cross-Sectional Stock Return Forecasting: New Machine Learning Methods', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770048691991-Research-Paper-46-Time-Series-and-Cross-Sectional-Stock-Return-Forecasting-New-Machine-Learning-Methods'}]"
9,analyst35,ESG Model,"The dataset provide ESG related information based on proprietary metrics created by the company across the Environmental, Social and Governance disciplines. This global dataset follows a uniform methodology in all regions, and extracts similar set of fields in each region.",analyst,analyst-esg,USA,1,TOP3000,0.3771,,3.0,57,1192,46,[]
10,analyst39,Analyst estimates & financial ratios,"This dataset provides a lot of information on companies financials, financial statements calendar and analyst consensus estimates",analyst,analyst-esg,USA,1,TOP3000,0.911,,3.0,77,2134,38,[]
11,analyst4,Analyst Estimate Data for Equity,This dataset provides details and aggregations on opinions from analysts on upcoming fiscal quarters and years. It also includes information about companyâ€™s financial updates before and after earning announcements. It has global coverage.,analyst,analyst-analyst-estimates,USA,1,TOP3000,0.6036,,1.0,3102,83301,350,"[{'title': 'Research Paper 46: Time-Series and Cross-Sectional Stock Return Forecasting: New Machine Learning Methods', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15770048691991-Research-Paper-46-Time-Series-and-Cross-Sectional-Stock-Return-Forecasting-New-Machine-Learning-Methods'}]"
12,analyst40,Information on board of director,"This dataset about Boards of Directors has four parts now: 1) board_connection (connections between companies triggered by board directorsâ€™ movements) 2) board_mobility (human capital records for boards), 3) board_character (board characters such as gender ratio, nationality mix, standard deviation for ages, etc.) 4) board_independence (independence of board according to the constitution of board directors.",analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.4314,,3.0,58,426,22,[]
13,analyst44,Broker Estimates,"This dataset integrates the detail estimates from other analyst datasets to recognize those repeated forecast events, improve the coverage on instruments and items.",analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.7473,,3.0,181,5588,673,"[{'title': 'Research Paper 21: Non-GAAP Earnings and the Earnings Quality Trade-off', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14760799705879-Research-Paper-21-Non-GAAP-Earnings-and-the-Earnings-Quality-Trade-off'}]"
14,analyst45,Analyst Trade Ideas,This dataset contains analyst trade ideas. Trade ideas are based on information that enables analysts to formulate a short-term view about the likelihood of potential future market-moving events (i.e. catalysts) or about how the market will correct temporary mispricing emanating from previously announced news. Note that data fields with name â€œlimitedâ€ are those with low coverage.,analyst,analyst-analyst-estimates,USA,1,TOP3000,0.5977,,5.0,8,30,51,[]
15,analyst46,Analyst Investment insight Data,The dataset incorporates the investment insight from sell-side contributors from various stocks trading on many exchanges.,analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.4536,,3.0,29,264,5,"[{'title': 'Research Paper 68: An Augmented q-Factor Model with Expected Growth', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/17611179260823-Research-Paper-68-An-Augmented-q-Factor-Model-with-Expected-Growth'}]"
16,analyst47,Alternative Analyst Investment Insight Data,The dataset incorporates the investment insight from sell-side contributors from various stocks trading on many exchanges.,analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.5458,,3.0,40,438,5,[]
17,analyst48,Dividend estimation data,Dividend estimation/history on general equity and equities which are parts of some index,analyst,analyst-analyst-estimates,USA,1,TOP3000,0.5778,,4.0,23,106,66,[]
18,analyst52,Stock Cluster Data,This is a statistical grouping data. The coverage of fields is also put in their names like anl52_1000_d1_01c has coverage only in TOP1000.,analyst,analyst-analyst-ratings,USA,1,TOP3000,0.6191,,4.0,40,496,36,[]
19,analyst57,Financial Statement Data,"This dataset covers the financial statement fields which belongs to multiple industries including some rare fields which include details about partnership income, dividends paid, treasury shares etc.",analyst,analyst-crowdsourced-estimates,USA,1,TOP3000,0.2644,,4.0,15,200,47,[]
20,analyst69,Fundamental Analyst Estimates,"This dataset is a type of analyst dataset that contains analyst estimates for key income statement, balance sheet, and cash flow measures. Most data fields are updately daily, and has good coverage across regions.",analyst,analyst-analyst-estimates,USA,1,TOP3000,0.9528,,2.0,154,4184,610,[]
21,analyst7,Broker Estimates,This dataset contains analyst estimates and actual fundamentals in an aggregated form.,analyst,analyst-analyst-estimates,USA,1,TOP3000,0.6992,,1.0,540,187614,1317,"[{'title': 'Research Paper 10: Investor Learning, Earnings Signals, and Stock Returns', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/13801504994455-Research-Paper-10-Investor-Learning-Earnings-Signals-and-Stock-Returns'}, {'title': 'Research Paper 15: Investor Behavior, Sentiment and Macroeconomic Announcements', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/14280329361431-Research-Paper-15-Investor-Behavior-Sentiment-and-Macroeconomic-Announcements'}]"
22,analyst8,Analyst Estimate Daily Data,"This dataset creates daily & history files for fundamental data including data from financial statements with all the details and summary as provided by the company in these statements. It also provides exchange rate, currency report and all other necessary mappings required to process all the information. The fundamental data includes all important company fields including sector and industry specific metrics as well. It also includes nalyst recommendations. ",analyst,analyst-analyst-estimates,USA,1,TOP3000,0.8098,,2.0,86,1084,7,[]
23,analyst9,Analyst Estimate Daily Data,estimation from analyst,analyst,analyst-analyst-estimates,USA,1,TOP3000,0.7432,,2.0,71,526,23,[]
24,earnings1,Actuals and Estimates Earnings Data,This dataset provides estimates for adjusted EPS(earnings per share) and revenue by analysts. Corresponding actual values are also provided so that one can utilize the gap for measuring earning surprise or shock.,earnings,earnings-earnings-estimates,USA,1,TOP3000,0.7674,,4.0,25,114,4,"[{'title': 'Research Paper 37: Rational Inattention and Analyst Forecast Accuracy', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15238228822167-Research-Paper-37-Rational-Inattention-and-Analyst-Forecast-Accuracy'}, {'title': 'Research Paper 38: Rational Inattention and Analyst Forecast Accuracy', 'url': 'https://support.worldquantbrain.com/hc/en-us/community/posts/15769972228375-Research-Paper-38-Rational-Inattention-and-Analyst-Forecast-Accuracy'}]"
25,earnings3,Earnings Date Data,financial report announce date information,earnings,earnings-earnings-estimates,USA,1,TOP3000,0.8993,,2.0,155,4654,5,[]
